"taxonID","acceptedTaxonID","synonymyStartUseDate","synonymyEndUseDate","kingdom","phylum","class","order","family","subfamily","tribe","genus","subgenus","speciesGroup","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","taxonRank","vernacularName","nameAccordingTo","nameAccordingToID","d20LocalityStatusSource"
"CICSCU4","CICSCU4",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindela",,"scutellaris","rugifrons","Cicindela scutellaris rugifrons","Dejean","subspecies",,"Pearson, D. L., C. B. Knisley, and C. J. Kazilek. 2006. A field guide to the tiger beetles of the United States and Canada: Identification, natural history, and distribution of the Cicindelidae. Oxford University Press, New York, New York.","isbn: 9780195181562","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys, (245), 1."
"CICSCU5","CICSCU5",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindela",,"scutellaris","scutellaris","Cicindela scutellaris scutellaris","Say","subspecies",,"Pearson, D. L., C. B. Knisley, and C. J. Kazilek. 2006. A field guide to the tiger beetles of the United States and Canada: Identification, natural history, and distribution of the Cicindelidae. Oxford University Press, New York, New York.","isbn: 9780195181562","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys, (245), 1."
"CICSCU6","CICSCU6",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindela",,"scutellaris","unicolor","Cicindela scutellaris unicolor","Dejean","subspecies",,"Pearson, D. L., C. B. Knisley, and C. J. Kazilek. 2006. A field guide to the tiger beetles of the United States and Canada: Identification, natural history, and distribution of the Cicindelidae. Oxford University Press, New York, New York.","isbn: 9780195181562","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys, (245), 1."
"CICSCU7","CICSCU7",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindela",,"scutellaris","yampae","Cicindela scutellaris yampae","Rumpp","subspecies",,"Pearson, D. L., C. B. Knisley, and C. J. Kazilek. 2006. A field guide to the tiger beetles of the United States and Canada: Identification, natural history, and distribution of the Cicindelidae. Oxford University Press, New York, New York.","isbn: 9780195181562","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys, (245), 1."
"CICSED","CICSED",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindelidia",,"sedecimpunctata","sedecimpunctata","Cicindela sedecimpunctata sedecimpunctata","Klug","subspecies",,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","isbn: 3933896061 9783933896063","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys, (245), 1."
"CICSED1","CICSED1",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindelidia",,"sedecimpunctata",,"Cicindela sedecimpunctata","Klug","species",,"Retrieved Oct 07, 2014 from the Integrated Taxonomic Information System on-line database, http://www.itis.gov.","www.itis.gov","Retrieved Oct 07, 2014 from the Integrated Taxonomic Information System on-line database, http://www.itis.gov."
"CICSEN","CICSEN",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindelidia",,"senilis",,"Cicindela senilis","Horn","species",,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","isbn: 3933896061 9783933896063","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys, (245), 1."
"CICSEX","CICSEX",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindela",,"sexguttata",,"Cicindela sexguttata","Fabricius","species",,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","isbn: 3933896061 9783933896063","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys, (245), 1."
"CICSP","CICSP",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindelidia",,"sp.",,"Cicindela (Cicindelidia) sp.","Rivalier","subgenus",,"Retrieved Oct 07, 2014 from the Integrated Taxonomic Information System on-line database, http://www.itis.gov.","www.itis.gov","multiple sources based on child taxa"
"CICSP1","CICSP1",20120501,,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindelinae","Cicindelini","Cicindela","Cicindela",,"sp.",,"Cicindela (Cicindela) sp.","Linnaeus","subgenus",,"Retrieved Oct 07, 2014 from the Integrated Taxonomic Information System on-line database, http://www.itis.gov.","www.itis.gov","multiple sources based on child taxa"
